"","celltype"
"Dat1_Cell_00689","Oligo"
"Dat1_Cell_00690","PVALB"
"Dat1_Cell_00691","SST"
"Dat1_Cell_00692","eL6"
"Dat1_Cell_00693","eL4"
"Dat1_Cell_00694","Oligo"
"Dat1_Cell_00695","Micro"
"Dat1_Cell_00696","eL2/3"
"Dat1_Cell_00697","Micro"
"Dat1_Cell_00698","Astro"
"Dat1_Cell_00699","eL6"
"Dat1_Cell_00700","eL5"
"Dat1_Cell_00701","SST"
"Dat1_Cell_00702","Astro"
"Dat1_Cell_00704","eL4"
"Dat1_Cell_00705","eL2/3"
"Dat1_Cell_00708","Micro"
"Dat1_Cell_00709","Endo"
"Dat1_Cell_00710","Oligo"
"Dat1_Cell_00711","Endo"
"Dat1_Cell_00713","eL6"
"Dat1_Cell_00714","Oligo"
"Dat1_Cell_00715","Oligo"
"Dat1_Cell_00716","eL4"
"Dat1_Cell_00719","eL6"
"Dat1_Cell_00720","eL5"
"Dat1_Cell_00722","eL4"
"Dat1_Cell_00723","eL6"
"Dat1_Cell_00725","eL6"
"Dat1_Cell_00726","Endo"
"Dat1_Cell_00728","eL6"
"Dat1_Cell_00730","Oligo"
"Dat1_Cell_00732","eL4"
"Dat1_Cell_00735","Astro"
"Dat1_Cell_00737","eL2/3"
"Dat1_Cell_00738","Oligo"
"Dat1_Cell_00739","eL4"
"Dat1_Cell_00740","Micro"
"Dat1_Cell_00741","Endo"
"Dat1_Cell_00742","eL4"
"Dat1_Cell_00743","Oligo"
"Dat1_Cell_00744","eL6"
"Dat1_Cell_00745","eL4"
"Dat1_Cell_00746","eL5"
"Dat1_Cell_00747","eL5"
"Dat1_Cell_00748","Astro"
"Dat1_Cell_00749","Astro"
"Dat1_Cell_00750","Oligo"
"Dat1_Cell_00751","Oligo"
"Dat1_Cell_00752","eL2/3"
"Dat1_Cell_00753","eL4"
"Dat1_Cell_00754","SST"
"Dat1_Cell_00755","Oligo"
"Dat1_Cell_00757","Astro"
"Dat1_Cell_00758","Astro"
"Dat1_Cell_00761","eL4"
"Dat1_Cell_00762","eL4"
"Dat1_Cell_00763","Oligo"
"Dat1_Cell_00764","eL4"
"Dat1_Cell_00765","eL6"
"Dat1_Cell_00767","eL4"
"Dat1_Cell_00768","eL2/3"
"Dat1_Cell_00769","Astro"
"Dat1_Cell_00770","Micro"
"Dat1_Cell_00771","eL4"
"Dat1_Cell_00772","Astro"
"Dat1_Cell_00774","eL4"
"Dat1_Cell_00775","eL6"
"Dat1_Cell_00776","Astro"
"Dat1_Cell_00777","eL2/3"
"Dat1_Cell_00778","eL2/3"
"Dat1_Cell_00779","eL2/3"
"Dat1_Cell_00780","Endo"
"Dat1_Cell_00781","eL6"
"Dat1_Cell_00782","Astro"
"Dat1_Cell_00784","eL4"
"Dat1_Cell_00785","Endo"
"Dat1_Cell_00786","eL6"
"Dat1_Cell_00787","PVALB"
"Dat1_Cell_00788","eL5"
"Dat1_Cell_00789","eL4"
"Dat1_Cell_00790","Micro"
"Dat1_Cell_00791","Astro"
"Dat1_Cell_00792","eL5"
"Dat1_Cell_00793","Oligo"
"Dat1_Cell_00795","eL4"
"Dat1_Cell_00797","eL2/3"
"Dat1_Cell_00798","eL2/3"
"Dat1_Cell_00799","eL5"
"Dat1_Cell_00800","eL2/3"
"Dat1_Cell_00801","Oligo"
"Dat1_Cell_00802","eL6"
"Dat1_Cell_00803","eL4"
"Dat1_Cell_00804","eL2/3"
"Dat1_Cell_00805","eL6"
"Dat1_Cell_00806","eL4"
"Dat1_Cell_00807","eL2/3"
"Dat1_Cell_00808","Astro"
"Dat1_Cell_00809","eL4"
"Dat1_Cell_00812","eL5"
"Dat1_Cell_00813","eL4"
"Dat1_Cell_00814","eL5"
"Dat1_Cell_00815","eL2/3"
"Dat1_Cell_00816","PVALB"
"Dat1_Cell_00817","Astro"
"Dat1_Cell_00818","eL4"
"Dat1_Cell_00819","Oligo"
"Dat1_Cell_00820","Micro"
"Dat1_Cell_00821","eL2/3"
"Dat1_Cell_00822","eL2/3"
"Dat1_Cell_00823","Oligo"
"Dat1_Cell_00824","Oligo"
"Dat1_Cell_00825","Endo"
"Dat1_Cell_00826","Astro"
"Dat1_Cell_00827","eL4"
"Dat1_Cell_00828","eL6"
"Dat1_Cell_00829","Astro"
"Dat1_Cell_00830","eL2/3"
"Dat1_Cell_00832","eL6"
"Dat1_Cell_00833","Endo"
"Dat1_Cell_00835","Micro"
"Dat1_Cell_00836","eL6"
"Dat1_Cell_00837","eL6"
"Dat1_Cell_00838","eL2/3"
"Dat1_Cell_00840","eL2/3"
"Dat1_Cell_00841","Astro"
"Dat1_Cell_00842","Oligo"
"Dat1_Cell_00843","eL6"
"Dat1_Cell_00844","Astro"
"Dat1_Cell_00845","eL4"
"Dat1_Cell_00846","Endo"
"Dat1_Cell_00847","eL2/3"
"Dat1_Cell_00848","Astro"
"Dat1_Cell_00850","eL5"
"Dat1_Cell_00851","Endo"
"Dat1_Cell_00853","PVALB"
"Dat1_Cell_00855","eL6"
"Dat1_Cell_00856","eL4"
"Dat1_Cell_00857","Endo"
"Dat1_Cell_00858","Astro"
"Dat1_Cell_00859","eL6"
"Dat1_Cell_00860","eL4"
"Dat1_Cell_00861","eL4"
"Dat1_Cell_00863","eL6"
"Dat1_Cell_00864","Astro"
"Dat1_Cell_00865","Oligo"
"Dat1_Cell_00866","eL4"
"Dat1_Cell_00867","eL6"
"Dat1_Cell_00868","eL2/3"
"Dat1_Cell_00869","eL2/3"
"Dat1_Cell_00870","VIP"
"Dat1_Cell_00871","Oligo"
"Dat1_Cell_00873","eL2/3"
"Dat1_Cell_00874","Oligo"
"Dat1_Cell_00875","eL4"
"Dat1_Cell_00876","Micro"
"Dat1_Cell_00877","Micro"
"Dat1_Cell_00878","eL6"
"Dat1_Cell_00879","eL6"
"Dat1_Cell_00880","PVALB"
"Dat1_Cell_00881","eL5"
"Dat1_Cell_00882","eL4"
"Dat1_Cell_00883","VIP"
"Dat1_Cell_00884","Oligo"
"Dat1_Cell_00886","eL2/3"
"Dat1_Cell_00887","eL4"
"Dat1_Cell_00889","eL4"
"Dat1_Cell_00890","Oligo"
"Dat1_Cell_00891","eL4"
"Dat1_Cell_00892","eL2/3"
"Dat1_Cell_00893","Oligo"
"Dat1_Cell_00894","Endo"
"Dat1_Cell_00895","Endo"
"Dat1_Cell_00897","Oligo"
"Dat1_Cell_00898","SST"
"Dat1_Cell_00899","Endo"
"Dat1_Cell_00900","Oligo"
"Dat1_Cell_00901","Astro"
"Dat1_Cell_00902","eL6"
"Dat1_Cell_00903","Oligo"
"Dat1_Cell_00904","eL6"
"Dat1_Cell_00905","eL6"
"Dat1_Cell_00906","eL6"
"Dat1_Cell_00907","eL5"
"Dat1_Cell_00908","eL2/3"
"Dat1_Cell_00909","Astro"
"Dat1_Cell_00910","eL6"
"Dat1_Cell_00911","eL4"
